ALB,2.0,1.5,16.0,19.5
AUT,12.0,2.5,32.0,9.0
BLR,5.5,1.0,5.5,2.5
BEL,12.0,4.5,61.0,4.0
BIH,3.0,0.0,3.5,4.0
BGR,4.0,2.0,11.0,11.0
HRV,5.5,1.0,8.5,6.0
CZE,11.0,4.0,22.0,6.0
CYP,0.0,0.0,9.0,37.0
DNK,34.0,5.5,33.0,3.0
GBR,14.0,4.5,67.0,3.5
EST,15.0,0.5,8.0,1.0
FIN,28.0,0.5,3.5,0.0
FRA,8.5,3.5,58.5,6.0
DEU,16.0,4.5,44.5,4.5
GRC,3.5,1.5,15.5,23.0
HUN,8.5,2.0,18.5,6.5
ISL,29.0,4.0,42.0,0.0
IRL,6.0,5.0,81.0,1.0
ITA,4.5,2.5,39.0,15.5
LVA,6.0,1.0,12.0,0.5
LTU,6.0,1.0,5.0,0.0
MKD,3.0,1.5,12.5,14.0
MLT,1.0,1.0,32.5,21.0
MDA,5.0,3.0,16.0,4.0
MNE,6.0,1.5,9.5,9.0
NLD,16.5,6.5,49.0,3.5
NOR,31.5,4.5,32.0,0.5
POL,8.5,2.0,12.5,2.5
PRT,2.0,3.0,56.0,9.5
ROU,4.5,2.5,12.0,13.5
RUS,5.0,0.0,6.0,3.0
SRB,8.5,0.5,8.0,8.0
SVK,6.5,1.5,14.5,2.0
SVN,9.0,1.5,18.0,2.5
ESP,1.5,1.0,69.0,8.0
SWE,37.0,3.5,21.5,2.5
CHE,14.0,8.0,50.0,3.0
UKR,3.5,0.5,7.5,7.0
