Judet,Indicativ,Regiunea,Macroregiunea,PIB,Export
 Alba,ab,c,1,44774.08307,7533.115285
 Arad,ar,v,4,45249.28903,8050.258589
 Arges,ag,s,3,41523.44704,10781.96273
 Bacau,bc,ne,2,27585.80478,1318.601812
 Bihor,bh,nv,1,35444.07176,3690.832188
 Bistrita-Nasaud,bn,nv,1,32186.48859,2389.47221
 Botosani,bt,ne,2,22748.55317,826.3883746
 Braila,br,se,2,33465.83368,726.7805892
 Brasov,bv,c,1,52393.74354,6354.495086
 Buzau,bz,se,2,28869.82007,1717.0832
 Calarasi,cl,se,2,27027.56317,1038.877494
 Caras-Severin,cs,v,4,35252.49276,1332.697434
 Cluj,cj,nv,1,60786.3928,2544.838706
 Constanta,ct,se,2,54129.1616,2863.825569
 Covasna,cv,c,1,31774.75197,1441.699316
 Dambovita,db,s,3,30657.52814,1343.88638
 Dolj,dj,sv,4,33345.73743,4107.373486
 Galati,gl,se,2,29231.42207,2226.043076
 Giurgiu,gr,s,3,29102.78101,277.1416487
 Gorj,gj,sv,4,43618.44852,217.7130238
 Harghita,hr,c,1,31680.92244,988.4662382
 Hunedoara,hd,v,4,35509.08301,2163.635507
 Ialomita,il,s,3,30092.86106,659.8111433
 Iasi,is,ne,2,35971.21304,1235.091836
 Ilfov,if,b,3,49835.92459,5792.374145
 Maramures,mm,nv,1,31579.06187,3046.104012
 Mehedinti,mh,sv,4,28952.82508,561.9852604
 Municipiul Bucuresti,b,b,3,113928.0034,6619.083708
 Mures,ms,c,1,33708.26688,1901.162051
 Neamt,nt,ne,2,27316.37269,907.6609174
 Olt,ot,sv,4,27894.34355,4121.330984
 Prahova,ph,s,3,42871.7639,3476.523045
 Salaj,sj,nv,1,35990.93375,3016.591431
 Satu Mare,sm,nv,1,32691.56615,2959.734657
 Sibiu,sb,c,1,48582.82339,7685.464312
 Suceava,sv,ne,2,25369.27409,863.0382775
 Teleorman,tr,s,3,24919.98902,475.5291584
 Timis,tm,v,4,55197.48162,10320.34742
 Tulcea,tl,se,2,35141.98521,2851.016397
 Valcea,vl,sv,4,33094.75685,926.4545054
 Vaslui,vs,ne,2,20938.5584,479.7377447
 Vrancea,vn,se,2,26670.88592,767.8649756
