Judet,PIB,Export
 Alba,44774.08307,7533.115285
 Arad,45249.28903,8050.258589
 Arges,41523.44704,10781.96273
 Bacau,27585.80478,1318.601812
 Bihor,35444.07176,3690.832188
 Bistrita-Nasaud,32186.48859,2389.47221
 Botosani,22748.55317,826.3883746
 Braila,33465.83368,726.7805892
 Brasov,52393.74354,6354.495086
 Buzau,28869.82007,1717.0832
 Calarasi,27027.56317,1038.877494
 Caras-Severin,35252.49276,1332.697434
 Cluj,60786.3928,2544.838706
 Constanta,54129.1616,2863.825569
 Covasna,31774.75197,1441.699316
 Dambovita,30657.52814,1343.88638
 Dolj,33345.73743,4107.373486
 Galati,29231.42207,2226.043076
 Giurgiu,29102.78101,277.1416487
 Gorj,43618.44852,217.7130238
 Harghita,31680.92244,988.4662382
 Hunedoara,35509.08301,2163.635507
 Ialomita,30092.86106,659.8111433
 Iasi,35971.21304,1235.091836
 Ilfov,49835.92459,5792.374145
 Maramures,31579.06187,3046.104012
 Mehedinti,28952.82508,561.9852604
 Municipiul Bucuresti,113928.0034,6619.083708
 Mures,33708.26688,1901.162051
 Neamt,27316.37269,907.6609174
 Olt,27894.34355,4121.330984
 Prahova,42871.7639,3476.523045
 Salaj,35990.93375,3016.591431
 Satu Mare,32691.56615,2959.734657
 Sibiu,48582.82339,7685.464312
 Suceava,25369.27409,863.0382775
 Teleorman,24919.98902,475.5291584
 Timis,55197.48162,10320.34742
 Tulcea,35141.98521,2851.016397
 Valcea,33094.75685,926.4545054
 Vaslui,20938.5584,479.7377447
 Vrancea,26670.88592,767.8649756
