Judet,Valoare Totala,Valoare Medie
 Alba,1882.666715919,110.74510093641176
 Arad,1899.516421326,111.736260078
 Arges,1767.6404735600001,103.97885138588236
 Bacau,1972.1295225520003,116.00761897364707
 Bihor,1807.2428801580002,106.30840471517648
 Bistrita-Nasaud,1758.7028130460003,103.45310664976472
 Botosani,2026.090544557,119.18179673864705
 Braila,2366.5904558640004,139.21120328611767
 Brasov,1544.7591243219997,90.86818378364704
 Buzau,2184.4896133630004,128.49938902135295
 Calarasi,2102.749940605,123.69117297676472
 Caras-Severin,2018.6111510790001,118.74183241641177
 Cluj,1537.2625207130002,90.42720710076472
 Constanta,1538.0980191580004,90.47635406811767
 Covasna,1786.5899263350002,105.09352507852942
 Dambovita,1895.501123187,111.50006606982353
 Dolj,2157.1898306860003,126.89351945211766
 Galati,1992.019173074,117.17759841611765
 Giurgiu,2205.093732934,129.71139605494116
 Gorj,1910.7529246330002,112.39723086076472
 Harghita,1699.764556223,99.98615036605882
 Hunedoara,2188.6667957639997,128.74510563317645
 Ialomita,2089.1779640140003,122.89282141258825
 Iasi,1363.407003727,80.20041198394118
 Ilfov,1112.626708422,65.44862990717648
 Maramures,1682.2645415929996,98.95673774076468
 Mehedinti,2121.8303700910005,124.81355118182356
 Municipiul Bucuresti,1649.0785701050002,97.00462177088237
 Mures,1880.4705106659999,110.61591239211764
 Neamt,2057.407462113,121.02396835958822
 Olt,2210.3998710940004,130.02352182905884
 Prahova,1968.5072397060003,115.79454351211767
 Salaj,2088.272670363,122.83956884488236
 Satu Mare,1843.059756354,108.4152797855294
 Sibiu,1528.4719019640002,89.9101118802353
 Suceava,1754.1721718120002,103.18659834188236
 Teleorman,2565.479296868,150.91054687458822
 Timis,1338.9857895430002,78.76386997311766
 Tulcea,2048.8284280380003,120.51931929635296
 Valcea,1405.692625631,82.68780150770588
 Vaslui,2060.84580831,121.22622401823529
 Vrancea,1854.172671745,109.06898069088234
