Judet,TotalVenituri,TVenProprii,CoteImpProf,RealocImpProf,TVA,RealocTVA,Subventii,ChTotale,Ch1_Personal,Ch1_BunuriServicii,Ch1_AsistentaSociala,Ch2_ServPublGen,Ch2_OrdPubl,Ch2_Invatamant,Ch2_Sanatate,Ch2_CultReligie,Ch2_AsigAsistSoc,Ch2_LocuinteServDezvPublica,Ch2_ProtMediului,Ch2_Transporturi
ab,770343567,355547373,157367698,50880026,271037120,40797720,79595266,762807984,324627774,142792193,26045351,97879501,14420001,261639139,13205390,48003646,65335419,87399473,31276215,140080064
ag,1287392632,670931807,317225346,102589904,424697725,47596000,101949395,1182616836,482785979,246734677,54011568,140352425,18751379,406941988,38731362,87185469,98358533,125472588,69094121,160157037
ar,1069378402,566300385,229282085,74213220,280742628,60743190,122865114,1070863593,335330126,233118376,31016564,130626595,14102095,272975217,8568335,99817809,79196186,77346965,65391103,219005299
b,3720000000,3570000000,3210000000,126000000,24600000,0,69400000,3030000000,103000000,316000000,1789494,236000000,40800000,63800000,227000000,501000000,54200000,208000000,78000000,865000000
bc,1167020118,464299518,182058419,58988871,449721501,85548090,125500883,1123986231,501514437,240858052,56674860,149378310,19938339,408513558,29631661,48722802,114673576,79388900,44367926,176184922
bh,1355067848,607697741,250713045,81114107,412654625,93020989,124626261,1319562861,439684645,267532163,48822368,147384057,10561805,394983056,14337567,91817395,83234403,140286693,66365150,255139708
bn,714229311,269062782,99603060,31755000,236755038,41458764,133135690,706183133,256267017,133085958,32607732,100641078,9666282,237257142,4928916,33295943,55835160,61115189,33111223,155556133
br,721705472,279253616,104673273,33858416,214005100,38558000,177514612,675789447,222679258,90476000,38004217,82205310,12783815,196414296,5971160,28991482,64939210,47077503,24888682,210392597
bt,741824878,223939798,85304417,27496233,290994483,72328624,133871747,732344307,324499372,130104542,24266997,93343063,11009372,276556720,7869028,38628706,53956435,40654557,36251043,161883133
bv,1346120353,840306008,351844646,113711442,350452797,43372090,53725089,1124954260,390951029,338770199,60949222,140061335,26748834,352525711,9406651,88737473,100752895,94961892,74819169,194377382
bz,840877246,323248372,135949965,43951769,296594514,82523610,129989355,823217609,341937873,194460964,42719929,106831769,25548381,280141964,7759732,34450993,75496797,64765055,64562929,127582478
cj,1772779078,1064794094,509782787,164872117,435168304,40603000,138916379,1591306860,512954157,421703408,108337178,229390489,24891216,488678238,36298506,87489904,139494684,138511387,82513228,316197202
