,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
I1,74.72679945676776,-29.502829334540515,8.784857401539156,17.26177003168855,-12.958804889090088,-8.837765957446805,-25.11362607514713,-5.847725215029424,-27.32582616568584,-3.715029425079222,6.82831598008149,8.71531235853327
I2a,-29.502829334540515,166.31929040289728,-5.496689678587594,23.349677455862373,-143.58796401086465,-4.022606382978725,0.08493662290629263,0.1816149841557269,22.483844499773653,-1.8044081032141241,-4.075458352195561,-29.60717519239474
I2b,8.784857401539156,-5.496689678587594,3.196610457220459,-1.9781858306926206,10.820365550022625,0.1476063829787233,-3.5502489814395655,-0.6581880941602537,-3.5945280669986412,-0.45719216840199195,0.3199128564961522,-7.311622906292438
R1a,17.26177003168855,23.349677455862373,-1.9781858306926206,178.51145880488912,-203.1241229062923,-17.001329787234052,-28.509506564056135,-6.213869397917609,-29.41401652331372,-4.8141410140335,-1.2748698506111373,74.60723177908562
R1b,-12.958804889090088,-143.58796401086465,10.820365550022625,-203.1241229062923,580.1407028066999,10.432180851063832,-35.33114531462199,-3.519154594839295,-43.673126980534185,-3.370105251244908,-9.261911498415568,-136.4744228157537
G,-8.837765957446805,-4.022606382978725,0.1476063829787233,-17.001329787234052,10.432180851063832,11.456117021276595,13.946808510638297,3.5625,6.607712765957449,2.769946808510638,-2.4827127659574453,-18.265957446808514
J2,-25.11362607514713,0.08493662290629263,-3.5502489814395655,-28.509506564056135,-35.33114531462199,13.946808510638297,55.907650520597585,9.49801946582164,37.514599366229056,7.43656631960163,-4.171684019918515,-31.550645088275243
J1,-5.847725215029424,0.1816149841557269,-0.6581880941602537,-6.213869397917609,-3.519154594839295,3.5625,9.49801946582164,3.1551889995473084,4.730845405160706,1.4556643277501131,-0.9282197827071061,-6.270767315527388
E1b1b,-27.32582616568584,22.483844499773653,-3.5945280669986412,-29.41401652331372,-43.673126980534185,6.607712765957449,37.514599366229056,4.730845405160706,68.24708578542327,4.962341557265731,-5.969358306926209,-37.90527387958352
T,-3.715029425079222,-1.8044081032141241,-0.45719216840199195,-4.8141410140335,-3.370105251244908,2.769946808510638,7.43656631960163,1.4556643277501131,4.962341557265731,2.4115267089180623,-0.9409517881394304,-3.9352082390221828
Q,6.82831598008149,-4.075458352195561,0.3199128564961522,-1.2748698506111373,-9.261911498415568,-2.4827127659574453,-4.171684019918515,-0.9282197827071061,-5.969358306926209,-0.9409517881394304,25.959059529198644,-3.6753055681303772
N,8.71531235853327,-29.60717519239474,-7.311622906292438,74.60723177908562,-136.4744228157537,-18.265957446808514,-31.550645088275243,-6.270767315527388,-37.90527387958352,-3.9352082390221828,-3.6753055681303772,196.51720235400646
