,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
I1,1.0,-0.26463919351876947,0.5683968565341609,0.14945625165307108,-0.062238639659207264,-0.30205469099039706,-0.3885398890506724,-0.3808343175679266,-0.3826423672177076,-0.2767438821277534,0.15503542415415594,0.07191913901728098
I2a,-0.2646391935187694,1.0,-0.23838836195712157,0.13551161604760398,-0.46225333958849996,-0.09215470348675624,0.0008808218042381617,0.007928073648134476,0.21103632023913957,-0.09009847057636017,-0.06202412846499089,-0.16376661612908472
I2b,0.5683968565341609,-0.23838836195712157,0.9999999999999999,-0.08281121932681845,0.2512640795353231,0.02439167134441699,-0.2655695836514119,-0.20724901477948562,-0.24336323257936468,-0.16466749783483464,0.03511901758768718,-0.29172163597252176
R1a,0.1494562516530711,0.13551161604760398,-0.08281121932681847,1.0,-0.6311924350312821,-0.3759508937677217,-0.2853783550453304,-0.2618281770360461,-0.26648896300112557,-0.23202763832304452,-0.01872786732052705,0.39833419525990177
R1b,-0.06223863965920727,-0.46225333958849996,0.2512640795353231,-0.6311924350312821,1.0,0.12796456313867036,-0.1961803146566051,-0.08225437138394869,-0.21948536347594036,-0.0901012379311017,-0.07547262949812085,-0.40418883381635945
G,-0.3020546909903971,-0.09215470348675624,0.02439167134441699,-0.3759508937677217,0.12796456313867036,1.0,0.5510874192280313,0.5925478993856483,0.2363145052282994,0.5269952133811338,-0.14396710764069076,-0.3849669396153075
J2,-0.38853988905067244,0.0008808218042381617,-0.2655695836514119,-0.2853783550453304,-0.19618031465660507,0.5510874192280313,0.9999999999999999,0.7151295844553878,0.607327066075031,0.6404582086782942,-0.10950433389437136,-0.30100404790608126
J1,-0.38083431756792663,0.007928073648134476,-0.2072490147794856,-0.2618281770360461,-0.08225437138394869,0.5925478993856483,0.7151295844553878,1.0,0.32239181790498067,0.5277187337344981,-0.1025636937810193,-0.2518301418320736
E1b1b,-0.38264236721770756,0.21103632023913957,-0.24336323257936468,-0.26648896300112557,-0.21948536347594033,0.2363145052282994,0.6073270660750311,0.3223918179049807,0.9999999999999998,0.3868107716886951,-0.14182118671103225,-0.32730850982122833
T,-0.27674388212775336,-0.09009847057636015,-0.16466749783483464,-0.23202763832304452,-0.09010123793110168,0.5269952133811338,0.6404582086782942,0.5277187337344981,0.38681077168869504,1.0,-0.11892601222795172,-0.18076793389711165
Q,0.15503542415415597,-0.062024128464990884,0.03511901758768718,-0.01872786732052705,-0.07547262949812085,-0.14396710764069076,-0.10950433389437136,-0.10256369378101932,-0.14182118671103225,-0.11892601222795172,1.0,-0.05145750073854638
N,0.07191913901728098,-0.1637666161290847,-0.29172163597252176,0.39833419525990177,-0.40418883381635945,-0.3849669396153075,-0.30100404790608126,-0.2518301418320736,-0.32730850982122833,-0.18076793389711165,-0.05145750073854638,1.0
