,Stat Shapiro,P-value Shapiro,Stat KS,P-value KS,Stat Chi2,P-value Chi2
I1,0.727663516998291,6.523270638936207e-12,0.8176753999667143,2.616590257546338e-69,851.883352370417,1.0
I2a,0.657701849937439,1.7499458100037751e-13,0.7562383630898195,2.2902041733328327e-56,851.562375867345,1.0
I2b,0.898327112197876,2.2180670384841505e-06,0.617940490749394,4.1966534957247154e-35,22.297731979592776,0.9977431754883034
R1a,0.8542457222938538,3.600387898927693e-08,0.8495902935837357,1.5717304325496989e-77,65.05873276158283,0.9999999999853649
R1b,0.9142471551895142,1.258110387425404e-05,0.977373506223689,4.315712243738033e-155,47.19293884652822,0.999999948814028
G,0.9320311546325684,0.00010801380994962528,0.692408575855777,1.6555070775546333e-45,43.891657431472794,0.9999997757168892
J2,0.8577491044998169,4.848873658147568e-08,0.8389519957113952,1.2263705604111833e-74,118.8441422783804,1.0
J1,0.7672454118728638,6.7735775322042e-11,0.5,2.9577732409385626e-22,445.1230176258481,1.0
E1b1b,0.8863149881362915,6.600132564926753e-07,0.8389519957113952,1.2263705604111833e-74,185.3462422355526,1.0
T,0.8514792323112488,2.854929626039393e-08,0.5,2.9577732409385626e-22,65.2768294858242,0.9999999999867701
Q,0.165036141872406,1.1757852996177742e-20,0.5,2.9577732409385626e-22,95821268667540.3,1.0
N,0.4534032344818115,4.8519182110526746e-17,0.5,2.9577732409385626e-22,1543.8974268804843,1.0
