,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
Albania,-5.585106382978723,3.1542553191489358,-0.5904255319148937,-4.611702127659575,-18.515957446808514,-2.75,11.414893617021276,0.6329787234042554,17.48404255319149,-0.5265957446808511,-1.0797872340425532,-5.5638297872340425
Austria,4.414893617021277,-1.8457446808510642,0.40957446808510634,5.388297872340425,-2.515957446808514,3.25,0.914893617021276,-0.36702127659574457,-2.0159574468085104,-0.5265957446808511,-0.5797872340425532,-5.0638297872340425
Tyrol,8.414893617021278,-7.845744680851064,0.40957446808510634,0.38829787234042534,7.484042553191486,3.25,0.914893617021276,-1.3670212765957446,-4.51595744680851,-0.5265957446808511,-0.5797872340425532,-5.5638297872340425
Belarus,-2.085106382978723,8.654255319148936,-1.0904255319148937,37.388297872340424,-29.015957446808514,-2.75,-5.585106382978724,-0.36702127659574457,-6.01595744680851,-1.5265957446808511,-1.0797872340425532,4.4361702127659575
Belgium,4.414893617021277,-5.845744680851064,2.4095744680851063,-9.611702127659575,26.484042553191486,-0.25,-4.085106382978724,-0.36702127659574457,-5.01595744680851,-0.5265957446808511,-0.5797872340425532,-5.5638297872340425
Bosnia-Herzegovina,-4.585106382978723,46.65425531914894,-2.0904255319148937,1.3882978723404253,-31.015957446808514,-2.75,-4.085106382978724,-0.8670212765957446,1.9840425531914896,-0.5265957446808511,0.9202127659574468,-3.5638297872340425
Bosniaks,-3.585106382978723,47.15425531914894,-2.0904255319148937,2.3882978723404253,-31.515957446808514,-2.25,-4.585106382978724,-0.8670212765957446,-0.01595744680851041,-1.0265957446808511,-0.5797872340425532,-5.0638297872340425
Bosnian Croats,-7.585106382978723,62.15425531914894,-0.09042553191489366,-1.6117021276595747,-32.515957446808514,-3.25,-7.085106382978724,-1.3670212765957446,-1.0159574468085104,-1.5265957446808511,-1.0797872340425532,-5.5638297872340425
Bosnian Serbs,-5.085106382978723,22.154255319148938,0.40957446808510634,-0.11170212765957466,-28.515957446808514,-3.25,0.41489361702127603,-1.3670212765957446,12.48404255319149,0.47340425531914887,0.9202127659574468,-3.0638297872340425
Bulgaria,-3.585106382978723,11.154255319148936,-0.09042553191489366,3.3882978723404253,-23.515957446808514,0.75,2.914893617021276,1.6329787234042554,13.48404255319149,-0.02659574468085113,-0.5797872340425532,-5.0638297872340425
Croatia,-2.085106382978723,28.154255319148938,-1.0904255319148937,10.388297872340425,-26.015957446808514,-1.75,-2.085106382978724,-0.36702127659574457,-0.01595744680851041,-1.0265957446808511,-0.07978723404255317,-5.0638297872340425
Czech Republic,3.414893617021277,0.15425531914893575,1.9095744680851063,20.388297872340424,-12.515957446808514,0.75,-2.085106382978724,-1.3670212765957446,-4.01595744680851,-0.5265957446808511,0.42021276595744683,-5.0638297872340425
Cyprus,-7.585106382978723,-0.8457446808510642,-2.0904255319148937,-10.611702127659575,-25.515957446808514,4.75,28.914893617021278,4.632978723404255,9.98404255319149,3.473404255319149,-1.0797872340425532,-5.5638297872340425
Denmark,26.414893617021278,-6.845744680851064,3.4095744680851063,1.3882978723404253,-1.515957446808514,-1.75,-5.085106382978724,-1.3670212765957446,-7.51595744680851,-1.5265957446808511,-0.07978723404255317,-4.5638297872340425
Greenland,6.914893617021277,-8.845744680851064,-0.09042553191489366,-4.611702127659575,-13.015957446808514,-4.25,-6.085106382978724,-1.3670212765957446,-9.51595744680851,-1.5265957446808511,48.420212765957444,-5.5638297872340425
England,6.414893617021277,-6.345744680851064,2.4095744680851063,-9.111702127659575,32.484042553191486,-2.75,-4.585106382978724,-1.3670212765957446,-8.01595744680851,-1.0265957446808511,-0.5797872340425532,-5.5638297872340425
Estonia,7.414893617021277,-5.845744680851064,-1.5904255319148937,18.388297872340424,-26.515957446808514,-4.25,-7.085106382978724,-1.3670212765957446,-7.51595744680851,1.9734042553191489,-0.5797872340425532,28.43617021276596
Finland,20.414893617021278,-8.845744680851064,-1.5904255319148937,-8.611702127659575,-31.015957446808514,-4.25,-8.085106382978724,-1.3670212765957446,-9.51595744680851,-1.5265957446808511,-1.0797872340425532,55.93617021276596
France,0.9148936170212769,-5.845744680851064,1.4095744680851063,-10.611702127659575,23.984042553191486,1.25,-2.085106382978724,0.13297872340425543,-2.5159574468085104,-0.5265957446808511,-0.5797872340425532,-5.5638297872340425
Alsace,0.4148936170212769,-7.845744680851064,0.9095744680851063,-10.611702127659575,20.484042553191486,1.75,-0.08510638297872397,-0.36702127659574457,-0.01595744680851041,2.473404255319149,-0.07978723404255317,-5.5638297872340425
Auvergne,-5.585106382978723,-7.845744680851064,-0.5904255319148937,-8.111702127659575,17.984042553191486,4.75,-0.08510638297872397,2.132978723404255,2.4840425531914896,2.973404255319149,-1.0797872340425532,-5.5638297872340425
Brittany,0.4148936170212769,-7.845744680851064,2.4095744680851063,-13.111702127659575,45.484042553191486,-2.25,-5.585106382978724,-0.8670212765957446,-9.51595744680851,-1.5265957446808511,-1.0797872340425532,-5.5638297872340425
Corsica,-7.585106382978723,9.654255319148936,-1.0904255319148937,-13.611702127659575,14.484042553191486,3.25,5.914893617021276,-1.3670212765957446,-2.0159574468085104,-1.0265957446808511,-1.0797872340425532,-5.5638297872340425
Flanders-Artois,5.414893617021277,-6.345744680851064,-1.0904255319148937,-11.111702127659575,26.484042553191486,1.75,-5.585106382978724,-1.3670212765957446,1.9840425531914896,-1.5265957446808511,-1.0797872340425532,-5.5638297872340425
Ile-de-France,-5.085106382978723,-6.845744680851064,-0.09042553191489366,-10.111702127659575,22.984042553191486,-0.75,-1.585106382978724,-0.36702127659574457,10.48404255319149,-1.5265957446808511,-1.0797872340425532,-5.0638297872340425
Midi-Pyrenees,-5.085106382978723,-3.8457446808510642,0.40957446808510634,-9.611702127659575,26.484042553191486,-0.25,0.41489361702127603,2.632978723404255,-2.5159574468085104,-0.5265957446808511,-1.0797872340425532,-5.5638297872340425
Normandy,-0.5851063829787231,-4.845744680851064,-0.09042553191489366,-12.611702127659575,41.484042553191486,-4.25,-6.085106382978724,-0.36702127659574457,-5.01595744680851,-1.5265957446808511,-0.07978723404255317,-5.5638297872340425
Poitou-Saintonge,-6.085106382978723,-5.845744680851064,-2.0904255319148937,-13.611702127659575,39.984042553191486,3.25,-2.085106382978724,-1.3670212765957446,-8.51595744680851,-1.5265957446808511,-1.0797872340425532,-5.5638297872340425
Provence,-5.585106382978723,-4.845744680851064,-1.0904255319148937,-8.611702127659575,23.484042553191486,3.25,0.41489361702127603,-0.36702127659574457,0.4840425531914896,-0.5265957446808511,0.9202127659574468,-5.5638297872340425
Rhone-Alpes,-0.5851063829787231,-7.345744680851064,0.40957446808510634,-8.611702127659575,31.984042553191486,0.75,-5.585106382978724,-1.3670212765957446,-5.01595744680851,-1.5265957446808511,3.920212765957447,-5.5638297872340425
Germany,8.414893617021278,-7.345744680851064,2.4095744680851063,2.3882978723404253,9.984042553191486,0.75,-3.585106382978724,-1.3670212765957446,-4.51595744680851,-0.5265957446808511,-0.5797872340425532,-4.5638297872340425
North Germany,10.914893617021278,-8.345744680851064,5.409574468085106,8.388297872340425,1.484042553191486,-0.75,-4.085106382978724,-0.8670212765957446,-7.51595744680851,-0.5265957446808511,0.9202127659574468,-4.0638297872340425
East Germany,8.914893617021278,-7.345744680851064,2.9095744680851063,10.388297872340425,1.484042553191486,-0.25,-6.085106382978724,-1.3670212765957446,-2.5159574468085104,-0.5265957446808511,-0.07978723404255317,-4.5638297872340425
West Germany,4.914893617021277,-6.345744680851064,4.409574468085106,-4.611702127659575,12.484042553191486,0.75,-3.085106382978724,-1.3670212765957446,-2.0159574468085104,-0.02659574468085113,-0.5797872340425532,-3.5638297872340425
South Germany,2.914893617021277,-4.345744680851064,0.9095744680851063,-4.111702127659575,13.984042553191486,3.75,-2.585106382978724,-0.36702127659574457,-2.0159574468085104,-0.02659574468085113,-0.5797872340425532,-5.0638297872340425
