,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
Albania,-0.6460903565594671,0.24458258592053686,-0.33023284921211987,-0.3451661501917094,-0.7687400464892165,-0.8124824209000582,1.5266386298246466,0.3563497205617297,2.11640997200728,-0.3391027464158901,-0.21193062137544671,-0.3968931000948122
Austria,0.5107190437565312,-0.14311999547120796,0.22908044494894797,0.40329101516055543,-0.10445677735978161,0.9602064974273414,0.12235873454326145,-0.20662294721646504,-0.24402780024057166,-0.3391027464158901,-0.11379525975331867,-0.36122584253371054
Tyrol,0.9734428038829306,-0.6083630931413018,0.22908044494894797,0.029062432484423036,0.3107202658461152,0.9602064974273414,0.12235873454326145,-0.7695956149946598,-0.5466480274518347,-0.3391027464158901,-0.11379525975331867,-0.3968931000948122
Belarus,-0.2412070664488677,0.6710554254514561,-0.6098894962926538,2.7983539442878027,-1.204675941855408,-0.8124824209000582,-0.7469573911071198,-0.20662294721646504,-0.7282201637785926,-0.9830554365793985,-0.21193062137544671,0.3164520511272212
Belgium,0.5107190437565312,-0.4532820605846038,1.3477070332710837,-0.7193947328678418,1.099556647937319,-0.07386203826364166,-0.5463459774954934,-0.20662294721646504,-0.6071720728940874,-0.3391027464158901,-0.11379525975331867,-0.3968931000948122
Bosnia-Herzegovina,-0.5304094165278673,3.617595044028717,-1.1692027904537217,0.10390814901964952,-1.2877113504965874,-0.8124824209000582,-0.5463459774954934,-0.4881092811055624,0.24016456329744923,-0.3391027464158901,0.18061082511306542,-0.2542240698504055
Bosniaks,-0.41472847649626743,3.6563653021678912,-1.1692027904537217,0.178753865554876,-1.3084702026568822,-0.6647583443727748,-0.6132164486993689,-0.4881092811055624,-0.0019316184715612262,-0.6610790914976443,-0.11379525975331867,-0.36122584253371054
Bosnian Croats,-0.8774522366226668,4.819473046343126,-0.050576202131585944,-0.12062900058602993,-1.3499879069774718,-0.9602064974273414,-0.9475688047187463,-0.7695956149946598,-0.12297970935606645,-0.9830554365793985,-0.21193062137544671,-0.3968931000948122
Bosnian Serbs,-0.5882498865436672,1.7178523952091673,0.22908044494894797,-0.008360425783190207,-1.1839170896951132,-0.9602064974273414,0.05548826333938596,-0.7695956149946598,1.5111695175847542,0.3048499437476183,0.18061082511306542,-0.21855681228930385
Bulgaria,-0.41472847649626743,0.8649067161473285,-0.050576202131585944,0.25359958209010247,-0.9763285680921648,0.22158611479092494,0.38984061935876335,0.9193223883399244,1.6322176084692592,-0.017126401334135906,-0.11379525975331867,-0.36122584253371054
Croatia,-0.2412070664488677,2.183095492879261,-0.6098894962926538,0.7775195978366879,-1.080122828893639,-0.5170342678454916,-0.27886409267999146,-0.20662294721646504,-0.0019316184715612262,-0.6610790914976443,-0.01565989813119064,-0.36122584253371054
Czech Republic,0.39503810372493137,0.011961037085489967,1.0680503861905497,1.5259767631889525,-0.5196338205656784,0.22158611479092494,-0.27886409267999146,-0.7695956149946598,-0.4861239820095821,-0.3391027464158901,0.08247546349093739,-0.36122584253371054
Cyprus,-0.8774522366226668,-0.06557947919285899,-1.1692027904537217,-0.7942404494030683,-1.0593639767333443,1.4033787270091913,3.8671051219602885,2.6082403916745087,1.208549290373491,2.2367080142381437,-0.21193062137544671,-0.3968931000948122
Denmark,3.0556997244517277,-0.5308225768629528,1.9070203274321513,0.10390814901964952,-0.06293907303919194,-0.5170342678454916,-0.6800869199032443,-0.7695956149946598,-0.9097923001053504,-0.9830554365793985,-0.01565989813119064,-0.32555858497260887
Greenland,0.7999213938355307,-0.6859036094196507,-0.050576202131585944,-0.3451661501917094,-0.5403926727259732,-1.255654650481908,-0.8138278623109952,-0.7695956149946598,-1.1518884818743609,-0.9830554365793985,9.503470179215228,-0.3968931000948122
England,0.7420809238197309,-0.4920523187237783,1.3477070332710837,-0.6819718746002286,1.348662873860857,-0.8124824209000582,-0.6132164486993689,-0.7695956149946598,-0.970316345547603,-0.6610790914976443,-0.11379525975331867,-0.3968931000948122
Estonia,0.8577618638513307,-0.4532820605846038,-0.8895461433731876,1.3762853301184996,-1.100881681053934,-1.255654650481908,-0.9475688047187463,-0.7695956149946598,-0.9097923001053504,1.270778978992881,-0.11379525975331867,2.0284804140601014
Finland,2.3616140842621287,-0.6859036094196507,-0.8895461433731876,-0.6445490163326153,-1.2877113504965874,-1.255654650481908,-1.0813097471264972,-0.7695956149946598,-1.1518884818743609,-0.9830554365793985,-0.21193062137544671,3.990179579920693
