,SporulNatural,SalNet,RataSom,RataAbScolar,RataInfract,EmigrantiDefinitiv,EmigrantiTemporar,AjutorSocial,NrPaturi,NrMedici,PIB,SupUtila,Export,Inoptari,ExecBVenituri,ExecBSubventii,Canalizare,PAVeg,PAAnim,ServAgr
SporulNatural,6.364200680272107,374.46479591836743,-2.6624659863945572,-0.21942176870748303,264.3456445993031,21.193982173321427,-159.337314024864,-25.513757061642,140.82425881421767,160.5616499207823,15379.412220596934,39.415188228873305,2446.1618539756464,119.61082685283385,273.05793225374146,-267.66510089481295,13.749747090818023,-3120.7710785123427,-359.23321175878027,-72.09422434191833
SalNet,374.46479591836743,116443.6763038549,-327.6145691609977,-63.9687074829932,48698.772357723574,5988.6848525108335,-18367.57430167812,-3567.065239386878,33258.93697332119,40068.03039728594,4448500.930630483,4906.107498684975,520482.32481811475,4481.221561088541,81129.85650214736,-32290.98865195096,3063.1237199511406,-291120.2453596168,-107606.88493922265,4026.7655940856216
RataSom,-2.6624659863945572,-327.6145691609977,3.890708616780045,0.220578231292517,-55.01742160278746,-1.9236062962976188,95.65071591243768,36.15446170558101,-88.06010567919498,-121.6574643400907,-16842.413695085605,-27.93912167082193,-2651.6282024854645,-107.34629416367011,-210.13612590419498,187.01594564312353,-13.316614615943879,1539.141464550529,247.78661524546735,-8.745090004700906
RataAbScolar,-0.21942176870748303,-63.9687074829932,0.220578231292517,0.48530612244897925,-48.7074912891986,-2.353671525952382,12.569914535646262,3.863151860558502,-10.641834943299314,-17.77544577289116,-2186.0903460782306,-3.9426231848384345,-197.55573810044208,20.439316849209867,-101.24253523401362,-17.016139671224494,0.27896711663265245,349.34995317556456,93.16606068178778,5.685096294440141
RataInfract,264.3456445993031,48698.772357723574,-55.01742160278746,-48.7074912891986,181527.9407665505,11410.63564615918,-8427.301526897792,-1491.2443862833406,14130.403346545234,17413.90217948786,2518684.247852578,716.8975186309665,60482.55030211932,21547.675796378764,93486.53423828338,-6889.859795107899,1733.7374305851283,-201091.71076188405,-46081.693813338476,-9414.53475588693
EmigrantiDefinitiv,21.193982173321427,5988.6848525108335,-1.9236062962976188,-2.353671525952382,11410.63564615918,3158.227435058576,-850.2158958896259,-78.8392066803179,2830.048971661915,2650.8228775241537,205099.9684240477,37.15228147291112,17877.544775913193,678.6428311921117,4212.513903495915,-3268.162855272801,337.68053506893455,-21304.38434255451,-3987.7132339015916,676.8958668351388
EmigrantiTemporar,-159.337314024864,-18367.57430167812,95.65071591243768,12.569914535646262,-8427.301526897792,-850.2158958896259,5847.033017358685,920.6103535891291,-5108.579986158807,-6323.13977790104,-726060.6622904389,-1521.3384099792497,-108674.69814072119,-2410.237084203511,-11790.226660712733,9425.443144331122,-670.2476738926202,98812.36909476356,21898.062084943722,64.11206399988002
AjutorSocial,-25.513757061642,-3567.065239386878,36.15446170558101,3.863151860558502,-1491.2443862833406,-78.8392066803179,920.6103535891291,390.9722247851868,-1095.6945713901857,-1265.6822878674911,-191829.50084296352,-249.9202608165287,-24173.243901327653,-1170.1027029654304,-3001.158490913107,1862.149537058433,-148.16911045310778,16463.968728983793,3053.646080999346,-132.44228963800973
NrPaturi,140.82425881421767,33258.93697332119,-88.06010567919498,-10.641834943299314,14130.403346545234,2830.048971661915,-5108.579986158807,-1095.6945713901857,31525.161906636746,21819.791177301155,1663219.2341567753,346.121563153783,102844.05131897992,7881.756499881003,24180.957677821112,-15340.335325211776,1947.370567585062,-166348.9731065538,-33148.634502589164,397.67572792648275
NrMedici,160.5616499207823,40068.03039728594,-121.6574643400907,-17.77544577289116,17413.90217948786,2650.8228775241537,-6323.13977790104,-1265.6822878674911,21819.791177301155,23037.140828790427,1654858.5445181248,1384.742470461131,187177.9004088057,5500.50218741513,25562.64580341577,-15735.231348913308,1520.7516095836186,-121076.7782764904,-37650.885663659355,354.8278671727788
PIB,15379.412220596934,4448500.930630483,-16842.413695085605,-2186.0903460782306,2518684.247852578,205099.9684240477,-726060.6622904389,-191829.50084296352,1663219.2341567753,1654858.5445181248,228914400.9149719,162842.70153910798,22853825.093007725,763182.6727809231,4747821.4557233,-1507788.200574851,176753.01694304383,-13798441.654812874,-4249384.216606682,295667.3513688535
SupUtila,39.415188228873305,4906.107498684975,-27.93912167082193,-3.9426231848384345,716.8975186309665,37.15228147291112,-1521.3384099792497,-249.9202608165287,346.121563153783,1384.742470461131,162842.70153910798,596.2988283068115,30698.74618380754,641.4068439930284,1734.912927038961,-2324.0577257259756,123.87029772300815,-19292.55902045911,-5618.246721956627,-109.57075271509858
Export,2446.1618539756464,520482.32481811475,-2651.6282024854645,-197.55573810044208,60482.55030211932,17877.544775913193,-108674.69814072119,-24173.243901327653,102844.05131897992,187177.9004088057,22853825.093007725,30698.74618380754,7409418.103673228,51202.10989749117,307186.2523785076,-208980.59794546533,20627.63872946616,-1436428.2473615902,-241561.23276905128,-4648.935286021399
Inoptari,119.61082685283385,4481.221561088541,-107.34629416367011,20.439316849209867,21547.675796378764,678.6428311921117,-2410.237084203511,-1170.1027029654304,7881.756499881003,5500.50218741513,763182.6727809231,641.4068439930284,51202.10989749117,21868.710687896728,5772.037397491316,-9433.842628592383,1153.7276938438358,-93780.08239535936,-11239.063606983531,-1703.7910385766315
ExecBVenituri,273.05793225374146,81129.85650214736,-210.13612590419498,-101.24253523401362,93486.53423828338,4212.513903495915,-11790.226660712733,-3001.158490913107,24180.957677821112,25562.64580341577,4747821.4557233,1734.912927038961,307186.2523785076,5772.037397491316,253345.22798958886,24828.585945080493,2935.0859475686248,-283059.6696469011,-66244.67616966944,3601.8936308169696
ExecBSubventii,-267.66510089481295,-32290.98865195096,187.01594564312353,-17.016139671224494,-6889.859795107899,-3268.162855272801,9425.443144331122,1862.149537058433,-15340.335325211776,-15735.231348913308,-1507788.200574851,-2324.0577257259756,-208980.59794546533,-9433.842628592383,24828.585945080493,47399.22122023756,-1689.7423041731156,167450.54187795173,37751.584452793424,-1945.7392959381525
Canalizare,13.749747090818023,3063.1237199511406,-13.316614615943879,0.27896711663265245,1733.7374305851283,337.68053506893455,-670.2476738926202,-148.16911045310778,1947.370567585062,1520.7516095836186,176753.01694304383,123.87029772300815,20627.63872946616,1153.7276938438358,2935.0859475686248,-1689.7423041731156,286.2183440437259,-15101.26154757294,-3092.354321249525,477.63676638607774
PAVeg,-3120.7710785123427,-291120.2453596168,1539.141464550529,349.34995317556456,-201091.71076188405,-21304.38434255451,98812.36909476356,16463.968728983793,-166348.9731065538,-121076.7782764904,-13798441.654812874,-19292.55902045911,-1436428.2473615902,-93780.08239535936,-283059.6696469011,167450.54187795173,-15101.26154757294,3689553.8197788983,506888.8161414601,87827.45346900297
PAAnim,-359.23321175878027,-107606.88493922265,247.78661524546735,93.16606068178778,-46081.693813338476,-3987.7132339015916,21898.062084943722,3053.646080999346,-33148.634502589164,-37650.885663659355,-4249384.216606682,-5618.246721956627,-241561.23276905128,-11239.063606983531,-66244.67616966944,37751.584452793424,-3092.354321249525,506888.8161414601,243291.19923182606,1670.704433219083
ServAgr,-72.09422434191833,4026.7655940856216,-8.745090004700906,5.685096294440141,-9414.53475588693,676.8958668351388,64.11206399988002,-132.44228963800973,397.67572792648275,354.8278671727788,295667.3513688535,-109.57075271509858,-4648.935286021399,-1703.7910385766315,3601.8936308169696,-1945.7392959381525,477.63676638607774,87827.45346900297,1670.704433219083,13646.375898263022
