,Stat Shapiro,P Shapiro,Stat KS,P KS,Stat Chi2,P Chi2
SporulNatural,0.9886307716369629,0.9461567997932434,0.7569977258982838,1.5630158272421896e-25,0.895829291170797,0.9892548170503704
SalNet,0.7629035711288452,7.836679287720472e-07,1.0,0.0,94.57618264084141,0.0
RataSom,0.9473985433578491,0.05214091017842293,0.855580467795342,1.1720027555975405e-35,7.274297695494198,0.2962235853298303
RataAbScolar,0.9057359099388123,0.0021472079679369926,0.7881446014166034,2.7022167669833327e-28,16.311375614607492,0.012176765766530817
RataInfract,0.9340210556983948,0.01774648018181324,1.0,0.0,17.41709715435426,0.007866605422456097
EmigrantiDefinitiv,0.927599310874939,0.010760289616882801,1.0,0.0,16.018500547844347,0.01365501157109561
EmigrantiTemporar,0.9188684821128845,0.005558009725064039,1.0,0.0,16.378019453091277,0.011862571190940918
AjutorSocial,0.963675856590271,0.19962647557258606,0.9761904761851721,1.3321704715988316e-68,5.120274176752101,0.528482323828968
NrPaturi,0.9494495391845703,0.061719778925180435,1.0,0.0,9.489630122492237,0.1478560040974639
NrMedici,0.7715030312538147,1.1535317980815307e-06,1.0,0.0,34.86386026063538,4.57927813302117e-06
PIB,0.6903530359268188,4.0269334533604706e-08,1.0,0.0,1715.2415472948471,0.0
SupUtila,0.7508233785629272,4.6159945554791193e-07,0.9999999929598322,0.0,82.4484285191249,1.1102230246251565e-15
Export,0.8195883631706238,1.1905877727258485e-05,1.0,0.0,38.443703264333635,9.198743207150528e-07
Inoptari,0.742780864238739,3.272710671353707e-07,0.9999999990581746,0.0,151.22251677350988,0.0
ExecBVenituri,0.7843652963638306,2.0903000859107124e-06,1.0,0.0,323.9873742786159,0.0
ExecBSubventii,0.9372548460960388,0.02293313294649124,1.0,0.0,10.963164895631476,0.08952155899917369
Canalizare,0.9339106678962708,0.01759275794029236,1.0,0.0,7.738164546643076,0.2579204934307262
PAVeg,0.9682642221450806,0.28844213485717773,1.0,0.0,7.278159468975025,0.2958874868691538
PAAnim,0.954185962677002,0.09129028767347336,0.9877797596368486,9.086139952630753e-81,11.010400863293746,0.08805551251112265
ServAgr,0.46247804164886475,3.288406699719637e-11,0.8842011044621704,9.718251098945847e-40,30811.293334597623,0.0
