,C,C_Test,Html,Html_test,Java,Java_test,PHP,PHP_test,InternetPenetration,InternetUsers,UploadSpeed,Download,FixedBroadbandSubscriptions,ChargesIntellProperty,GovernmentExpenditureOnEducation,GrossEnrolmentRatio,HighTechnologyExports,GINIindex,IncomeShareLow20,SurveyMeanIncome,Unemployment,UnemploymentTertiaryEducation,GDP_BM
ABW,-0.21075755418086517,-0.4173439379738661,0.02129294023476451,0.19701553746792969,-0.10755001962785002,-0.46836901807429404,-0.15165192177029574,-0.19668570517495956,1.1935778628390192,1.3215465740566887,0.0,-1.295500786861407e-16,0.3848719427238398,-0.13332290473685934,0.8127088800668857,-0.9753025821974685,-0.35538053897049715,0.0,-1.0936687419869822e-15,0.0,0.0,-1.4990171643031331,0.3909729045769887
AGO,-0.3537039145539867,-0.40576049572813633,-0.6441231332734033,-0.17902372906370032,-0.5579562671538365,-0.46836901807429404,-0.6816046526928882,-0.19668570517495956,-0.9229110086873528,-1.398630218871409,-0.46972296300537214,-0.7303107169186758,-0.9830876336349117,-0.22142733450722113,-0.6127541761972582,-1.2611141407284938,0.0,0.445830103255387,-0.6157693545206887,0.0,-0.3045532221898195,-3.7330851873527326e-16,-0.49985616961645335
ALB,0.23165600758855134,0.3039701476035238,1.2751367939045153,0.03701501906234832,0.5362032420488496,0.16251242804045554,1.0370012182794155,0.1330397688643701,0.5281934015564808,0.4152530997099486,-0.3816587219249289,-0.5472558879058294,-0.5222240010609526,-0.21512017353772314,-0.5584165816812238,0.9008242067371806,-0.7287419088909732,-1.3892348745472247,1.4898588698502255,-1.2198443234874312,1.373401612739792,-0.35367778219660156,-0.505534695748778
AND,0.18985955576509533,-0.4173439379738661,0.3597802041596349,0.38783786381095536,1.0355262456995977,-0.46836901807429404,0.5201030555631377,0.3570185436281547,1.7280089992946748,1.6157736928485245,0.0,-1.295500786861407e-16,1.69106237029944,0.0,-0.8182691512333187,2.9102958981374106e-16,0.7892132421804079,0.0,-1.0936687419869822e-15,0.0,0.0,-3.7330851873527326e-16,1.1844029109790373
ARE,0.18585656044137816,0.4544303949397714,0.4664718622470671,-0.06479130982911671,0.14509235134860052,-0.10124989325498664,0.37492685177020907,-0.1388288973319836,1.5156522563321626,1.413650822384703,0.1912323087596753,1.0251194561248356,-0.14306081481034952,0.0,-1.8909632044279656,-0.7648781018263673,-0.07132615969362796,0.0,-1.0936687419869822e-15,0.0,-0.8819140654746195,1.527200696139812,0.9947895166475031
ARG,-0.17860210962214876,-0.1989777111806673,-0.33010221264549244,-0.1530927576802498,-0.18515860913879967,0.015072394985547162,-0.27741367824823215,-0.13816677056498095,0.5211148434577303,0.6345469115785611,-0.64774529981315,-0.6559219019413438,0.15941516952864376,-0.18251463187756997,0.43258721206354084,1.6085858260022914,-0.2397943552662143,0.43916198923720934,-1.009805045631035,-0.16391834041361153,-0.0519579447508731,-0.9841398217929278,-0.14926890405554402
ARM,2.040130668880264,8.185094189870085,6.5616311809971215,2.2697542177499486,2.640413257637368,4.374622117848493,7.216332986050173,3.54942092930831,0.03977289274270252,0.23677868414261047,0.12210661414814453,-0.10165230014945814,-0.32495704743562887,0.0,-1.2703525945151564,0.14504308828134072,-0.37186608231624013,-1.0531619280310487,1.2435865629062588,-1.3230350682528593,1.5538268601407856,3.5656943838813375,-0.524751157370485
ASM,0.7298791510974635,-0.4173439379738661,0.6050564711518165,0.5261124541476428,1.9927588625703536,-0.46836901807429404,1.0635884639543876,0.49208366205092213,-1.0574036125636106,2.5344489434616367e-16,0.0,-1.295500786861407e-16,-1.3388110162319475e-16,0.0,0.0,2.9102958981374106e-16,0.0,0.0,-1.0936687419869822e-15,0.0,0.0,-3.7330851873527326e-16,-0.4919556115193061
ATG,-0.11143471249976503,-0.4173439379738661,-0.045797174052640374,-0.17902372906370032,0.11904686697060064,-0.46836901807429404,-0.08545815435087752,-0.19668570517495956,0.6449896101858624,0.4847034284935478,0.0,-1.295500786861407e-16,-0.12257624703341848,-0.21064464395395532,-1.098077765823867,-0.7056037829202847,-0.8689076565679573,0.0,-1.0936687419869822e-15,0.0,0.0,-3.7330851873527326e-16,-0.07565380803577093
AUS,0.18292627416211577,0.27193205839151946,0.4145131619228118,-0.08225352094273405,0.2719164525704304,0.1344910203666495,0.3802848324594296,-0.0659273825813673,1.3386883038634025,1.1752776239919442,-0.4517313438599052,0.025246266576578833,1.0704569645576618,-0.0802399292357093,0.3922907742476903,1.8775968328575179,0.40454732701027857,-0.5917284379731249,0.4062607192967727,0.0,-0.4488934545718365,0.03510712232129909,1.6492602277679564
