,BoliInfectioase,Tuberculoza,Tumori,BoliEndocrine,Diabet,TulbMentale,SistNervORL,ApCirculator,BoalaIschemica,BoliCerebroVasculare,BRespiratorii,BDigestive,BGenitoUrinar,SarcinaNastere,MalfCongenitale,Accidente,AlteCauze
 Alba,31.559375151261907,-3.07756425502439,-22.793793357142818,2.6104763594761877,-1.772639268142857,-1.9196592572307691,-6.78241469809524,-12.730739671428523,78.18313548095244,-18.031001925238087,2.526337119761905,-33.26056830666667,-3.9119125943809507,-2.7755575615628914e-17,1.3939428817380952,-6.031520789285715,-1.2156033119285752
 Arad,-9.105312558738094,1.0743065029756096,-11.851345457142827,16.326433979476185,16.76694579185714,-1.747657918230769,7.129382891904761,-2.95296547142857,45.88654098095242,-67.5832103252381,28.9679348097619,-4.436393686666676,10.284023915619045,-2.7755575615628914e-17,-0.0059064582619048345,-9.474006599285715,2.3167845680714265
 Arges,-7.598127358738095,0.6157631979756104,-29.670227557142823,30.13486693947619,28.871075261857143,1.2356086427692308,4.332310091904759,-24.492272571428543,-49.221551119047575,-33.52655102523809,-4.980266760238095,-12.849047686666665,1.7940316956190472,0.09858489764705883,0.5652769957380952,-8.476218559285712,-7.361387531928573
 Bacau,19.53823254126191,3.82053619997561,0.664608142857162,-4.2733735705238125,-8.600558196142858,2.574069864769231,6.488942151904759,-4.871636871428564,-45.66671431904757,34.202102474761915,-9.6027924702381,61.75571734333333,7.382126985619049,-0.07625012235294118,1.2294893617380953,17.67308853071428,11.723328498071428
 Bihor,-15.576957317738096,-1.53740634902439,-3.484025057142844,-16.435474783523812,-15.274994651142858,-2.049319791230769,-16.13482241109524,-61.54457467142856,100.27334788095243,-66.90680872523811,-1.8267096902381041,-11.64780978666667,47.833988605619055,0.10889437064705884,0.45397155973809533,-6.611345559285716,-0.565679471928572
 Bistrita-Nasaud,34.93231485126191,0.10354095297561017,-59.80465405714281,-9.607865283523815,-8.806597327142857,0.0,-12.32828941709524,-66.04573477142856,180.8778938809524,-87.0510163252381,-34.7543285002381,-37.89219599666667,-11.819708124380952,0.11147252964705881,1.906289217738095,-6.454501899285717,-0.604775891928572
 Botosani,-12.376196070738095,-3.07391073502439,10.301943942857179,31.082876649476184,31.978854101857138,1.210898067769231,-11.427285084095239,52.135690528571445,0.3525221809524055,3.5128323747618992,17.086414709761897,21.325629243333324,-10.882871694380952,-2.7755575615628914e-17,0.16568623273809524,14.031596480714285,2.744997268071426
 Braila,14.684206311261907,0.63402538597561,84.02321194285719,5.793176709476185,6.953656841857141,-1.1852390062307692,28.043314631904764,139.22356672857143,98.82193588095242,18.31305867476189,44.64980770976189,23.519110643333335,14.211822785619049,0.09972628464705882,0.05149711373809507,6.264589440714289,4.320381778071425
 Brasov,-13.507608557738095,-3.47834836202439,4.405265242857183,-1.0551013305238133,-1.8843577681428574,-1.323211082230769,-6.6594553080952394,-194.99354347142855,-23.226516219047568,-78.02096232523809,-7.026257890238099,-21.832866556666673,28.78042353561905,-0.06685450335294119,0.12301889273809508,-14.442664079285713,0.7995580980714259
 Buzau,-14.057259960738094,-2.98128478702439,59.84166644285716,4.350465049476188,3.3237823718571438,3.361779276769231,11.372024371904757,168.4668899285715,-75.56143431904758,102.16553717476191,26.3751813097619,16.72750494333333,9.735962525619051,-2.7755575615628914e-17,-0.9567782702619049,9.060546350714283,-14.655835405928574
