,BoliInfectioase,Tuberculoza,Tumori,BoliEndocrine,Diabet,TulbMentale,SistNervORL,ApCirculator,BoalaIschemica,BoliCerebroVasculare,BRespiratorii,BDigestive,BGenitoUrinar,SarcinaNastere,MalfCongenitale,Accidente,AlteCauze
 Alba,2.048492977015308,-1.2550628207410943,-0.6273078938933748,0.1848929118691552,-0.12598959274275626,-0.5758415841961858,-0.525041727238481,-0.082748696843672,1.0535864264861654,-0.226964601351789,0.10596330723774615,-1.4221813736009477,-0.3168259335647901,-4.751550926255092e-16,1.7593122004632202,-0.46379427751151275,-0.15987795997168283
 Arad,-0.5910183183509088,0.4381134034045973,-0.32616082992580847,1.156356734642326,1.1917036420326599,-0.5242462173827521,0.5519013027559923,-0.01919401785691016,0.6183614463468392,-0.8507012784504062,1.2150152694502985,-0.18969478840424844,0.832903445375737,-4.751550926255092e-16,-0.007454612536734026,-0.7285045014949508,0.30470696057045593
 Arges,-0.49318817176329627,0.2511146582555112,-0.8165542114286096,2.134370333216616,2.051999569036797,0.37064642363933814,0.33537370904571545,-0.15919763425641598,-0.663303637422648,-0.42201427961098176,-0.2088895946281229,-0.5494096228303155,0.14529868781469413,1.687701124331489,0.7134429453832389,-0.651779509691311,-0.9681806635575155
 Bacau,1.2682105381438966,1.558054533567115,0.018290677985350185,-0.30267138029833734,-0.6112810677085188,0.7721456103093136,0.5023233681572826,-0.031665214513106325,-0.6153990889824542,0.43051775967656736,-0.4027742936224021,2.6405992257639705,0.597878714691145,-1.3053461564283695,1.5517534203040468,1.3589735678371635,1.5418696427997887
 Bihor,-1.011087434897386,-0.6269703535455596,-0.09588383936906848,-1.1640797970250725,-1.0856638402586567,-0.6147359489252632,-1.2490322996302046,-0.4000343643259275,1.3512714425662191,-0.8421870971456596,-0.07661851564731424,-0.4980461539054297,3.8740763579103006,1.8641917389046863,0.5729630059982691,-0.5083799499613422,-0.07439900753998016
 Bistrita-Nasaud,2.2674277073206337,0.04222508117958384,-1.6458836400678294,-0.6804988609334651,-0.6259252125552915,0.0,-0.9543601589660092,-0.4292915121565168,2.4374885027577933,-1.0957516004627046,-1.4577166126820646,-1.6202241300998528,-0.9572785614763798,1.9083279296078788,2.4059507188675817,-0.496319444076793,-0.07954102698864332
 Botosani,-0.8033286657786606,-1.2535728771568628,0.2835197571788206,2.201515272156919,2.2728836470457243,0.36323397447639383,-0.8846114201605613,0.3388774385172991,0.004750546042979314,0.044217653731017784,0.7166632660856754,0.9118579216852789,-0.8814041472682,-4.751550926255092e-16,0.20911460184183334,1.0789607429798236,0.3610261333122202
 Braila,0.9531397043664569,0.2585621691065891,2.312402472733365,0.4103148863614114,0.49422824447317715,-0.35553700711635833,2.170895028869656,0.9049410335970343,1.3317123909493689,0.230514980747215,1.8727671993758623,1.0056485136456357,1.151016008941183,1.7072408324325585,0.06499513120301245,0.48171611025922006,0.5682230528650258
 Brasov,-0.8767677159061866,-1.4185067621692595,0.12123728675782042,-0.07472994597687614,-0.13392993828840016,-0.39692459114691603,-0.515523168822417,-1.2674410153404738,-0.31299770816829325,-0.9820861139416017,-0.29470553147123363,-0.933546771147105,2.330927477306154,-1.144500051917925,0.15526363505780374,-1.110569819123024,0.10515907314837034
 Buzau,-0.9124451345323626,-1.2157990489156143,1.6469022577839174,0.30813155923160473,0.2362364384687014,1.0084353757891866,0.8803335661707327,1.0950200823116323,-1.0182567004334295,1.2860050990458223,1.1062662297583454,0.7152477293197097,0.7885159348298777,-4.751550926255092e-16,-1.2075614475042253,0.696711442337042,-1.927557323501514
 Calarasi,-0.45016528262543315,-0.8529496820596244,-0.601980511246699,2.624284356161933,2.715928354417671,1.0319451379106044,1.9705778512484577,0.4711369561925008,-0.8015034101351995,1.357168138487791,1.4652023999045511,-0.3141164544781881,0.7798959031160397,-4.751550926255092e-16,0.5548100449053901,-0.05575131562318694,-0.8137229714695842
 Caras-Severin,3.7175771324971096,1.7606381774283768,-0.26198237383588824,-0.403774840176464,-0.34898099653260267,0.10808731682905423,-0.3052183589029322,0.5547007988273797,-0.09142779799102967,0.6115996481520141,-0.16134940383173638,-1.0578055553394081,0.5071776048116353,-4.751550926255092e-16,-1.1944812545148908,-1.1305382773862467,1.7941222464475266
 Cluj,-0.5725877140599769,-1.0873899776643037,0.5964167177057759,-0.779338809910081,-0.7497540685232087,-0.41411097662924573,-0.7255001775025883,-1.049127001571009,-0.17410884506629126,-0.764091480017531,-1.0678176313981609,-1.0259912580855433,-0.5160566919574769,-4.751550926255092e-16,0.3670338157812813,-1.9809309098662282,-0.29098573690587376
 Constanta,-0.12555300601348704,0.4155224013323325,-0.3096648440493087,0.08425046881111006,0.1670252896890889,-0.5344912280327807,-0.3332773140454844,-0.6830959828154054,-1.7083810549531013,-1.053056046569169,0.05331393637515486,0.04738065361731737,-0.5643031054913302,-4.751550926255092e-16,-0.627224925983255,-0.45326423517873715,0.1837869764217388
 Covasna,-0.46968616761235077,-0.19070139721012866,-0.187676535261308,-0.10181000158882982,-0.05488894258198082,0.6689857352711389,-0.24138321587355024,-0.5467093429527722,1.100168950827917,-0.6055656033570518,-1.2600691793443306,-0.6328253343592564,1.0401767903089845,-4.751550926255092e-16,-0.25229232759660075,0.749921052640458,-0.09010147276653588
 Dambovita,-0.9320456941674279,-0.5081462993287357,0.012988158164411632,2.8499829040577125,2.8843013452486264,-0.36163958580181227,-0.245059517196006,-0.1506473630561402,-0.11978546218497842,0.5289975298272311,-1.1720710226864863,-0.08559676072133865,-0.24927363328031288,-0.7417584737214952,-0.3217844592589303,-1.053524509183043,-0.9101213181322418
 Dolj,-0.48493466974364147,1.5890124632746885,-0.6574439183287784,-0.9166863176467289,-0.8716071395640186,0.19783770152004995,0.21594065136677323,1.1226993282278301,0.13188694062181364,2.000692264876902,-0.07720776079115609,0.16174236580993678,-0.6281516132809055,1.2506638692544039,-0.10330977868546092,-0.4856640312355807,-0.1414243466107348
